Column1,company_name,title,description,max_salary,pay_period,location,company_id,views,med_salary,min_salary,formatted_work_type,applies,original_listed_time,remote_allowed,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,normalized_salary,zip_code,fips
3797449314,"Subaru Research and Development, Inc",Cloud Platform/ Big Data Engineer,"About Subaru Research and Development:Do you care about making social impacts through your job, like eliminating fatal accidents by improving safety driving systems, or reducing carbon emissions by developing new BEVs?Do your personal interests relate to road trips, going outdoors, off-road driving, hands-on work on cars, or rally and racing? If your answer is yes, then this job is right for you!
Subaru R&D is an innovation partner of SUBARU Corporation in Japan, and our mission is to serve as a R&D hub of the SUBARU Group. We strive to create products that ignite the hearts of our customers in North America market. We lead and support Subaru's next generation vehicle development by researching, prototyping, testing, and analyzing.
General Position Summary:Develops and directs software system tests, programming, and documentation. Analyzes North American customer data and technical trends to determine user demands and set target performance goals for future products, and coordinates testing with Japan counterparts.Develops, research, designs, implements, tests, and evaluates software and systems, in conjunction with vehicle hardware development, to enable vehicle compute units to perform their applications.Analyzes software requirements to determine feasibility of design within time and cost constraints.Consults with other vehicle development engineers and engineering staff to evaluate interfacing, operational, and performance requirements of overall systems mainly in cockpit.Formulates and designs software systems, using scientific analysis to measure outcomes of designs.
Responsibilities:Develop internal software solutions for data analysis, data ingestion, or web applications using Google Cloud Platform, Amazon Web Service, or Microsoft Azure.Enable back-end services across the Subaru vehicle connected system.Leverage both public and private cloud environments to ensure a robust and scalable infrastructure.Construct and adapt data models to support analysis work.Design unit and integration tests.Write technical reports and give feedback to Subaru Corporation in Japan by writings, emails, and presentations.Support the maintenance of internal web applications.Construct software tools and internal packages to scale data analysis work for other team members.Plan, conduct and evaluate the Proof of Concept (PoC) stage in developing Subaru's next generation infotainment system, cockpit system including meters, displays, buttons, etc.Plan, propose solutions, test the potential solutions, and evaluate the testing data, regarding how interface between software and vehicle hardware can be improved for big data analysis purposes.Collect data from prototype system, clean/prepare the data, analyze the data, and draw conclusions on the testing results.Collaborate with other technical experts including product managers, UI/UX designers, marketing experts, and other business stakeholders.
Qualifications:1-2 years previous automotive engineering experience including internship.Bachelor’s degree in mechanical engineering, electrical engineering, computer science, software engineering, or equivalent, or equivalent combination of education and experience.Knowledge and experience of big data analysis or statistical data processing is a plus.Knowledge and experience in Python, C++, or JAVA is a plus.Knowledge and/or certificate around AWS, GCP, or Azure is mandatory.Proof of relevant work via internships or an active Github page in lieu of professional experience is accepted.Communication skills across cultural and language barriers.
Compensation and Benefit:Individual base salary is determined by factors such as job-related skills, experience, and relevant education or training. In addition to competitive salary, Subaru offers an amazing benefits package that includes:Medical, Dental, Vision Plans Medical, Dental, Vision plans available on your first dayPension and 401K Match Offerings12 Vacation days for the first year. (The amount increases with the length of service.)14 Company Holidays, 3 Floating Holidays, and 5 Sick daysEducation Assistance Program/ Gym Membership AssistanceVehicle Discount Program/ Vehicle Lease Program
Equal Opportunity:Subaru R&D is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, disability status, genetic information, protected veteran status, or any other characteristic protected by law.",,,"Michigan, United States",91080439,7,,,Full-time,1,1.71E+12,,https://www.linkedin.com/jobs/view/3797449314/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1.72E+12,,Entry level,,1.71E+12,,0,FULL_TIME,,,,,
3844032378,Redifcard Technologies LLC,Cloud / .NET Developer,"Position: Cloud / .NET Developer Location: 100% RemoteDuration: 3 months
Work Auth: US Citizen or Greencard only

SKILLS REQUIRED: 1. Azure (a lot of Azure experience)2. (Azure Logic Apps OR Azure Service Bus OR Azure Data Factory OR Azure Event Grid) must be recent3. .NET/C#. Must have good backend experience with 4. Snowflake 5. Kafka6. BizTalk (must have recent experience from year 2020, 2021, 2022, 2023, or 2023)7. HL7  (must have recent experience)8. Healthcare (must have recent experience)


Please send your resumes to Kalyan@redifcard.com ",,,"Bloomington, MN",23685281,12,,,Contract,1,1.71E+12,1,https://www.linkedin.com/jobs/view/3844032378/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1.72E+12,,,,1.71E+12,,0,CONTRACT,,,,55796,27137
3863046603,iPivot,AWS Cloud Architect (W2 Only),"Role: AWS Cloud ArchitectLocation: NYC NY3 Days Hybrid from Day 1Client: JefferiesLooks for 17+ years of experience.
We need expert in AWS.
Important Pointers: Candidate should have strong SRE (Site Reliability Engineer) background.Recent at least 8-10+ years from Infrastructure background.Expert in DevOps like Terraform, Docker, Container etc / SRE.Expert in AWS like AWS VPC Networking, AWS Control Panel, Landing Zone etcHe should be able to migrate on prem infrastructure services to AWS.He should be able to create various automation template for reusability using tech stack like Terraform, Cloudformation, Bash, Powershell etcHe should be an expert on understanding various AWS storage services and there use cases.
QualificationsAdvanced cloud implementation experience using compute, storage, networking, and security services and cloud native best practices on AWS.Proven background working in an enterprise IT environment.Familiar with IaC tools, Terraform, CloudFormationDesign capabilities aligned with the well-architected framework.EC2, Unix/Linux, User Data, AnsibleKubernetes, ServerlessExperience with Kafka a plus.Networking and Security Identity and Access Management (IAM)Python, DockerExperience collaborating with Infrastructure and Application teams.Self-disciplined, self-starter who can provide leadership and mentor others while resolving complex incidents and delivering projects.Knowledge of SDLC and CI/CD best practices Azure experience not required, but nice to have. 
ResponsibilitiesDesign, build, and maintain CI/CD pipelines that deploy customers’ applications to cloud infrastructure while promoting security and cloud computing best practices.Use infrastructure as code tools to automate immutable infrastructure.Manage, configuration, administration, and maintain AWS services.Provide guidance to Application and Business teams on infrastructure design decisions.Collaborate and liaise with various technical teams on escalations, development of cloud and managed services.Drive DevOps team process improvement with Enterprise IT cloud management capabilities.Identify opportunities for threat management, and critical upgrades.Utilize enterprise SaaS products to align with business technology needs.Continuously learn to keep up with industry trends and best practices.Manage multiple projects simultaneously and can adapt to changing business needs.Work well with cross functional global and remote teams.


Best Regards, Swarnalath Bathi IT Recruiter | iPivot LLC +1 732-924-8257 | latha@ipivot.io LinkedIn I'd : https://www.linkedin.com/in/swarnalatha-bathi-2b2a92218/ https://www.ipivot.io |405 Ridge Rd, Dayton – New Jersey 08810.
",,,"New York, NY",28387428,18,,,Contract,3,1.71E+12,,https://www.linkedin.com/jobs/view/3863046603/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1.72E+12,,,,1.71E+12,,0,CONTRACT,,,,10001,36061
3878383329,VDart,Hiring for the role of Azure Cloud Engineer,"Job Role: Azure Cloud Engineer Work Location: Hartford, CT (Hybrid Working 3 Days in office)Contract (C2C/W2)
Note: Locals Preferred, Look for Infra Candidates – Azure Cloud Engineer with Office 365 experience. Don’t submit DevOps candidate. Microsoft Azure certifications a must, such as:Microsoft Certified Solutions Associate (MCSA)Microsoft Certified Solutions Expert (MCSE)Microsoft Certified Solutions Developer (MCSD)
Job Description:We are looking for high-caliber consulting engineer who will lead our Microsoft Azure and Cloud Solutions Partner capability portfolio. The ideal candidate will have deep operational, technical, delivery, and implementation experience in Microsoft's cloud portfolio (Azure and Productivity products such as Office 365).Familiarity and knowledge of Microsoft Azure and Office 365 architecture and use cases.Knowledge of Microsoft Cloud Solutions Partner program.Direct experience with Microsoft Azure suite of products.Direct experience with consulting engineering efforts including implementation, configuration, and operation.Excellent verbal/written communication and organization skills with ability to facilitate meetings, conduct trainings, and conducting consulting activitiesExperience as a lead in customer engagements involving software and/or hardware projectsKnowledge of ITIL, Service Delivery Management, Service Portfolio Management, Six Sigma or equivalent desirable.Own, lead, and manage all aspects of customer engagement and engineering requirements.Act as consultative lead in process and requirements analysis and application configurationTrack progress of deliverables and interface with customer towards implementing services on schedule and on budgetRecognize issues and risks and proactively document and manage/resolve those with the customer and VVL Systems project managers and sponsorsMaintain effective working relationships with assigned customers and VVL Systems Project Management team.Incorporate and drive best practices into the product and methodology, including our best practice.Knowledge and familiarity of server virtualization, network architecture, and cloud technologies. Best Regards,M SelvakumarTechnical RecruiterVDart Inc.Cell: 470-396-0654Email: selvakumar.m@vdartinc.com",,,"Hartford, CT",890145,14,,,Contract,4,1.71E+12,,https://www.linkedin.com/jobs/view/3878383329/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1.72E+12,,,,1.71E+12,,0,CONTRACT,,,,6101,9003
3884425580,InRhythm,Technical Product Manager - Cloud,"We’re Looking For A Cloud Product Manager!Product Development Management is a fast-paced environment where innovative thinking is prized. Our teams focus on the delivery of web and mobile products for our clients. We lead and deliver the entire lifecycle from product definition and planning through to production and release.
As a Cloud Product Manager, you will identify new growth areas, technologies and emerging product/service opportunities for our clients. You will conduct in-depth market analysis to optimize existing products/solutions and build next generation products, partnering closely with the Design, Engineering, QA and Business teams to build a product road map and align product strategies for the business.
We’re looking for a natural in building and maintaining relationships in financial and tech environments. The ideal candidate will be a driver of process, accountability, customer engagement, and strategy. This will be driven from a proven ability to plan and execute scalable strategies, superior client management, escalation skills, and the ability to thrive in a fast-paced environment.

At InRhythm, You WillCollaborate with Business stakeholders, Designers and Engineers on design/creation/positioning for highly available and scalable productsManage the entire product life cycle, prototyping and testing new features and changes to products and processesLead roadmap definition and backlog prioritizationWork collaboratively with the team to help identify opportunities to better understand client’s needs through analytics, research, and direct observationUtilize adoption and usage metrics to facilitate prioritization, identify issues, and discover opportunities for optimizationCreate playbooks and processes to drive decision making around the design systemAuthor strategy docs, market research and vision documents along with user stories for current and future productsPresent strategic product communications across multiple stakeholder organizations

What You Bring To The TableProduct thought leadership with a strong technical acumen in cloud and how to leverage cloud services5+ Years of Product Management experience with Cloud Computing (PaaS, IaaS) and experience in managing operations in Cloud platforms across private and public cloud (AWS and GCP) for large enterprisesExperience building requirements for Hybrid/Private/Public Enterprise Cloud platformsExperience working on and launching cloud applications to the cloudFamiliar with cloud applications and how they are typically developed and deployed, such as using Jenkins, Docker, and KubernetesFamiliar with programming languages used for cloud applications, such as Java, Node.js, and .NETExperience building website portals catered to software engineers for managing cloud applicationsExperience with cloud telemetry, alerting, and monitoring platforms such as PrometheusCompetent in using data-driven processes/tools for decision makingUnderstanding of application development, Infrastructure and cloud platformsUnderstanding of Continuous Integration and Continuous Delivery (CICD) tools and processes such as Jenkins, Terraform, and AnsibleExperience with detailed planning and prioritization of epics and roadmapping feature requestsProficient in Confluence and JiraLocation: Phoenix, AZ and Palo Alto, CA (5 days per week onsite)

What Makes You Stand OutConsulting Mindset - Great client presentation, problem-solving skills, can be a trusted advisor, confident & collected with attention to detail, comfortable working and guiding teams, and has worked on consulting team engagements.Being able to articulate requirements for resources needed; assisting with initial project mobilization and project delivery and fulfillment",,,"Palo Alto, CA",2498968,59,,,Contract,7,1.71E+12,,https://www.linkedin.com/jobs/view/3884425580/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1.71E+12,,Mid-Senior level,,1.71E+12,,0,CONTRACT,,,,94301,6085
3884430949,Zact,Cloud DevOps Engineer,"Hey There Future Teammate! Are you the kind of person who dreams about cloud infrastructure and gets excited about the nitty-gritty of deploying microservices in Kubernetes, especially on Google Cloud Platform (GCP)? If you're nodding your head, keep reading - we might just be a match!
Here's the Scoop on What You'll Be Diving Into:Think of yourself as an artist, but instead of paint, you'll be using Docker to create masterpieces (a.k.a. applications and services).You'll be our automation superhero, turning tedious tasks into a thing of the past.Quality, stability, availability? They're not just buzzwords to you - they're what you live by to keep our software top-notch.You're a bit of a wizard when it comes to making our CI/CD pipelines as sleek and efficient as a high-speed train.What Makes You an Awesome Fit:You've got a Bachelor’s in Computer Science or something similar, or you've been in the industry long enough to teach the class.You've been in the infrastructure ops game for at least 3 years.CI/CD tools like GitHub Actions or Jenkins? You've got them in your toolkit.Cloud platforms like AWS or Google Cloud? You navigate them like your hometown.If scripting languages were real languages, you'd be a polyglot (we’re talking shell scripting, Python, etc.).Kubernetes and container management are your playground (Docker, Helm, you name it).Bonus Points If You:Speak 'Infrastructure as Code' fluently (Terraform is your friend).Command-line tools? You’re a keyboard warrior (kubectl, Git, GitHub, gcloud – bring it on).Databases are your secret love affair (MySQL, PostgreSQL – the more, the merrier).Linux is your second home.You know your way around distributed storage and data systems (like Kafka).
If you're ready to dive into a role where you're not just another cog in the machine, but a key player in steering the ship, hit us up. We can't wait to meet you! 
﻿We hire worldwide, but for this role, we prefer in the PST - EST time zones.
",,,United States,68581794,540,,,Full-time,264,1.71E+12,1,https://www.linkedin.com/jobs/view/3884430949/?trk=jobs_biz_prem_srch,,SimpleOnsiteApply,1.73E+12,,,,1.71E+12,,0,FULL_TIME,,,,,
3884432471,KAnand Corporation,SAP S/4 Cloud Delivery Lead (Automotive Car Motor/Vehicle Manufacturing experience) ,"Position : SAP S/4 Cloud Delivery Lead (Automotive Car Motor/Vehicle Manufacturing experience)
Duration : Contract : 12 Months
Location : Auburn Hills MI ( Onsite )
Experience : 15+ Years'
Automotive Car Motor/Vehicle Manufacturing experience
SkillsSAP as a Project Manager (should have managed multiple teams)5+ years of implementing cloud based solutionsHands on configuration experience in both on prem and cloud environmentsExperience in full suite SAP implementations or multiple SAP modules - both with hands on experience as well as leading and delivering SAP projects.Delivery lead or program management experience working in complex global environmentsExperience working in matrixed organizationExcellent communication skillsNon-SAP skills required include: MS Project, Confluence, JIRA, SharePoint, and MS Productivity tools including Word, Powerpoint etc.
RegardsParas Nath SinghSenior Associate -Talent AcquistionKAnand CorporationDirect no # 512-355-1243Paras.Singh@KAnandcorp.com",,,"Auburn Hills, MI",1364228,7,,,Contract,,1.71E+12,,https://www.linkedin.com/jobs/view/3884432471/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1.71E+12,,Mid-Senior level,,1.71E+12,,0,CONTRACT,,,,48326,
3884432517,Tekshapers,Opera Cloud PM,"Company Description
 Tekshapers is an Information Technology company based in Las Vegas, NV. We specialize in providing sophisticated business solutions to companies worldwide. Our mission is to ensure client satisfaction through responsive and outstanding performance. With a growth rate of over 100% in the last fiscal year, Tekshapers is committed to delivering smart IT solutions under our motto, Smart Works.
 Role Description
 This is an on-site contract role for an Opera Cloud PM at Tekshapers. The Opera Cloud PM will be responsible for expediting, project management, inspection, and logistics management. The role involves day-to-day tasks related to ensuring efficient operations and coordination for the Opera Cloud software.
 Qualifications
 Expeditor and Expediting skillsProject Management skillsInspection skillsLogistics Management skillsExperience in the hospitality industry is a plusExcellent organizational and communication skillsAbility to work effectively in a fast-paced environmentStrong problem-solving and decision-making abilitiesBachelor's degree in Hospitality Management, Business Administration, or related field",,,"Las Vegas, NV",294125,7,,,Contract,,1.71E+12,,https://www.linkedin.com/jobs/view/3884432517/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1.71E+12,,,,1.71E+12,,0,CONTRACT,,,,89101,32003
3884435336,Akkodis,Cloud Product Manager,"Akkodis is seeking a Cloud Product Manager for a contract with a client located in Plano, TX, Atlanta, GA, Chandler, AZ, or Richmond, VA.Pay/Salary Range: $56.17-58.50/hr W2 ONLY12 Month Contract- possibility of extension or perm.Hybrid schedule- onsite 3 days a week, remote 2 days a week. Responsibilities:Creating Service Architecture deliverables consistent with product management principles, standards, methodologies, and best practices from both a bank and industry perspectiveDefining and validating technical requirements, and establishing traceability between requirements and architecture/designDetermining business requirements and approaches to ensure all architectural solutions result in a coherent systems designProviding expert knowledge, support and guidance to business and technology teamsUnderstanding of billing, rates, demand modeling, chargeback, and other financialsReviewing and approving 3rd party and integration solution architecturesFacilitating technical design discussions and sessionsVendor managementCoaching and leadership to Product and serviceConsultantsProviding technical and architectural leadershipQualifications:5+ years of relative experience in Product/Service ManagementConfidence to operate with an entrepreneurial mindset and communication styleAbility to manage a product/service with an owner mentalityUnderstanding how to build networks quickly inside the Bank and leverage themExperience with IT Product Management, and ITIL v3 certificationMBACloud Providers: Azure, Google, AWSContainers: Kubernetes, Docker, OpenShiftExperience in agile development and tooling.Excellent communication, organizational leadership, coaching, and troubleshooting skills.Strong executive presence and the ability to communicate complex technology solutions to senior stakeholders.Critical thinkingSelf-management

If you are interested in this position then please click APPLY NOW. For other opportunities available at Akkodis go to www.akkodis.com. If you have questions about the position, please contact Mackensie Stiff at mackensie.stiff@akkodisgroup.com.  Equal Opportunity Employer/Veterans/DisabledBenefit offerings available for our associates include medical, dental, vision, life insurance, short-term disability, additional voluntary benefits, EAP program, commuter benefits and a 401K plan. Our benefit offerings provide employees the flexibility to choose the type of coverage that meets their individual needs. In addition, our associates may be eligible for paid leave including Paid Sick Leave or any other paid leave required by Federal, State, or local law, as well as Holiday pay where applicable.To read our Candidate Privacy Information Statement, which explains how we will use your information, please visit https://www.modis.com/en-us/candidate-privacy/The Company will consider qualified applicants with arrest and conviction records.",58.5,HOURLY,"Plano, TX",79383535,3,,56.17,Contract,,1.71E+12,,https://www.linkedin.com/jobs/view/3884435336/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1.71E+12,,Mid-Senior level,,1.71E+12,,0,CONTRACT,USD,BASE_SALARY,119256.8,75023,48085
3884435766,DKKD Staffing,"M365 Cloud Engineer/ Architect- Cypress, CA - Must be US or GC","More details company from CIO we work with and have staffed with.Not open to outside agencies.Job description and details comingImmediate need.M365Must be VERY strong in Azure (IaaS, PaaS, etc.)When applying, provide recent examples of work showcasing your skills and knowledge.Di@DKKDstaffing.com",,,"Cypress, CA",2399284,2,,,Full-time,,1.71E+12,,https://www.linkedin.com/jobs/view/3884435766/?trk=jobs_biz_prem_srch,https://dkkdstaffing.com/job/m365-cloud-engineer-cypress-ca-must-be-us-citizen-or-gc/,OffsiteApply,1.71E+12,,Mid-Senior level,,1.71E+12,,0,FULL_TIME,,,,90630,6059
